Arrival at Time,Product finished at Time
63.15916392,95.51615264
65.9025397,102.2946177
100.5670255,108.8762172
101.0579579,115.8033948
146.4227904,283.226667
176.5664248,326.1165465
187.4877457,349.4127078
195.1088716,366.3914801
204.8543522,382.9804168
305.0603411,443.4962637
390.8108245,476.3065803
404.6509172,501.6006649
430.0596419,553.0125476
524.5706223,574.4939487
555.6084202,574.579716
590.6211648,599.958198
603.8007332,610.2913693
608.1043065,615.4520392
669.396343,695.3688874
682.3360481,702.1888337
703.6985927,721.4241744
709.630061,728.5447183
717.5031562,768.7223904
726.1427377,792.4899895
734.0241531,807.6857843
751.4849621,815.4883451
759.7560794,836.2216717
778.8416268,908.9472668
795.2764335,932.0537786
804.7521978,967.9807041
819.3739226,1050.223025
824.1202039,1081.076517
845.7542037,1097.745256
862.4857089,1136.766245
906.6936458,1220.721853
913.476312,1237.289381
1004.245288,1239.060554
1044.024591,1280.385297
1049.176422,1360.297751
1111.934968,1401.505643
1129.484671,1419.252133
1194.696006,1425.641917
1257.387605,1438.497661
1271.008518,1439.035877
1277.508352,1477.088221
1327.5835,1510.766674
1347.908492,1516.293192
1369.842791,1578.698572
1374.311223,1589.055899
1396.155249,1594.187993
1418.496856,1595.127321
1448.028697,1657.509143
1469.963502,1701.227354
1482.237298,1752.319799
1525.851275,1761.658312
1526.86428,1788.420927
1571.089,1828.115284
1635.528487,1837.836449
1644.437145,1838.265867
1651.88745,1877.458774
1676.992742,1886.113151
1707.49256,1903.017812
1720.939299,1928.980067
1820.919329,1981.000841
1862.279196,1991.607641
1889.057273,2030.18797
1936.066494,2066.026464
1970.651156,2091.154394
1992.703446,2304.916686
2041.666415,2375.154737
2112.534908,2425.678998
2170.132938,2505.058216
2192.548166,2505.242025
2226.9235,2580.010407
2299.919963,2625.38806
2313.818477,2635.676699
2396.640635,2641.846236
2400.469591,2645.185872
2408.93068,2655.518708
2409.715039,2691.019089
2485.80487,2727.902585
2485.868864,2731.399407
2512.199309,2752.804585
2533.493045,2772.462521
2587.747868,2818.833915
2641.345112,2823.179249
2761.16392,2839.445101
2777.047582,2845.640788
2826.51933,2936.023822
2835.23147,2949.601005
2879.444199,2949.634975
2946.705288,2971.863329
2981.960293,2992.493971
3011.192102,3035.689118
3038.232607,3068.600585
3051.58565,3189.581707
3064.536344,3302.244777
3096.302529,3303.084337
3175.265834,3315.362274
3217.558121,3335.960307
3256.060782,3341.398653
3472.817386,3482.25502
3525.197899,3569.42236
3550.915753,3668.334801
3596.993507,3709.22615
3634.781366,3722.769352
3671.704701,3724.583954
3698.098357,3741.850698
3740.007435,3747.489449
3837.885247,3898.754887
3838.48623,3905.405506
3855.790731,3943.037881
3919.291435,3950.946752
3919.612968,3969.508193
3930.880409,4004.757084
3935.091954,4051.841343
3992.125476,4059.310106
4005.832761,4064.931541
4060.69307,4101.312927
4075.020377,4104.7743
4090.370847,4118.537789
4090.618771,4125.790414
4095.814299,4132.656232
4195.695688,4209.149542
4228.698138,4267.686609
4260.96364,4289.251659
4300.442293,4326.13934
4331.749418,4335.80572
4339.528322,4345.159938
4355.723844,4375.018306
4380.691056,4381.800149
4486.601618,4512.257442
4509.288244,4537.533656
4527.518469,4555.128401
4574.403265,4628.614779
4633.142908,4692.673545
4644.118354,4734.282036
4710.592711,4749.06148
4716.722851,4761.995308
4741.509834,4788.188231
4759.685099,4815.538841
4810.42715,4859.14993
4842.046135,4870.932628
4899.377205,4965.653232
4918.775939,5007.556075
4998.668095,5048.113295
5065.012013,5086.542596
5096.911618,5111.20551
5102.123932,5132.036333
5107.233945,5144.305368
5115.795627,5175.65589
5185.432917,5194.404824
5219.581277,5345.088059
5246.336325,5366.825591
5303.075097,5372.022889
5341.511892,5400.703204
5348.509661,5400.859856
5365.316645,5416.352449
5407.473673,5422.540313
5526.442519,5550.342784
5540.583611,5618.068045
5551.075866,5628.075891
5579.927847,5694.9739
5586.48978,5695.848812
5587.639226,5737.094174
5634.841265,5746.303181
5689.191086,5750.677743
5720.843103,5754.759187
5788.569307,5849.953156
5895.969021,5897.202877
5901.90493,5924.369131
5903.506283,5926.347723
5917.470593,5939.442447
5946.947741,5995.750947
5950.318736,6025.653781
6054.517781,6070.176032
6081.493127,6108.804052
6105.531809,6149.907187
6117.636791,6162.972029
6132.556578,6185.237386
6161.957943,6229.304695
6197.836646,6237.077754
6221.669299,6255.246896
6235.813249,6337.306046
6290.993231,6426.793794
6331.036345,6451.138436
6379.559716,6458.856325
6454.113418,6506.759318
6502.403187,6541.36804
6571.885822,6572.131748
6592.659059,6617.549505
6652.314242,6691.351027
6663.275509,6711.226431
6796.311166,6797.914413
6810.153595,6861.371955
6844.325612,6882.682149
6883.124495,6906.404215
6944.220949,6947.126298
6994.838347,7019.712877
7052.984079,7057.911909
7059.721646,7107.097157
7120.802955,7150.217727
7126.11421,7157.736322
7169.912861,7170.635658
7207.351672,7284.585924
7227.837,7323.506475
7312.557259,7440.808211
7392.487597,7460.201411
7400.166909,7484.366057
7482.647615,7503.214254
7544.940362,7551.445195
7700.189117,7713.019517
7705.906309,7757.685821
7775.875835,7902.307908
7797.399784,7938.451968
7845.457863,8059.037351
7861.491948,8104.020765
7883.350682,8106.536728
7899.920306,8141.311179
7936.373926,8142.401851
7972.044044,8198.495411
8003.63798,8306.223616
8012.228214,8324.382945
8012.861751,8430.901774
8101.51019,8492.775592
8103.643756,8507.71801
8109.334372,8548.901152
8118.787075,8571.708866
8125.679251,8585.957837
8143.399564,8647.493551
8150.008038,8662.698414
8175.647499,8670.402825
8194.622205,8676.213772
8200.477986,8678.072796
8213.504328,8736.95572
8257.705818,8744.410902
8297.213617,8786.869988
8312.838009,8815.499412
8340.499737,8818.883194
8344.818844,8820.039864
8387.802752,8832.912879
8460.978793,8847.893474
8482.511492,8851.94718
8502.484316,8994.888905
8514.040532,9025.637594
8566.536289,9032.044341
8602.983214,9096.849219
8607.410067,9148.333731
8637.162704,9159.504149
8669.803874,9207.897325
8672.435333,9227.456128
8874.658666,9235.577682
9008.844392,9286.552841
9008.913043,9308.999335
9025.384164,9312.830375
9054.270169,9324.323404
9081.626854,9395.579553
9208.834929,9402.062795
9254.544654,9516.446043
9255.32199,9528.600643
9292.396884,9529.895197
9317.651952,9565.077041
9333.987601,9566.883244
9335.299273,9570.966772
9343.052468,9578.479132
9390.901167,9603.657573
9430.251443,9621.46038
9486.835881,9722.920573
9552.683827,9779.280872
9570.418124,9788.736942
9577.726586,9832.86863
9591.16573,9836.984425
9626.254128,9897.601462
9688.100854,9902.536061
9775.290031,9904.301543
9805.92779,9918.367619
9814.279311,9923.820779
9846.062896,10005.73106
9927.695356,10057.30798
9969.88285,10093.264
9998.890818,10095.97959
10039.13067,10104.44589
10048.10315,10135.72397
10051.67032,10158.89893
10109.13796,10195.44773
10120.65015,10248.31317
10144.64669,10357.6965
10149.69185,10464.2851
10171.05025,10508.66628
10273.00183,10628.42293
10277.14,10643.66876
10282.4888,10686.61484
10361.40988,10694.07302
10405.69574,10713.21105
10411.0704,10723.21455
10473.68864,10755.67351
10557.34833,10757.0533
10565.44289,10776.98354
10605.24663,10791.46466
10657.85166,10858.14621
10687.79889,10885.47366
10700.27567,10890.40983
10736.07218,10913.76943
10757.2437,10925.70252
10767.19866,11005.11037
10777.02081,11020.83134
10806.87006,11036.38612
10871.04976,11052.59322
10880.09074,11108.37145
10880.12674,11132.43712
10885.19079,11147.03933
10908.63909,11176.04489
10927.80788,11179.76604
10933.04323,11219.4683
10940.52178,11230.19763
10999.15478,11238.66745
10999.45339,11249.09038
11011.93411,11285.20117
11091.65337,11304.09602
11108.97312,11361.76185
11119.55856,11418.0482
11132.16568,11476.02976
11152.24122,11489.58449
11160.38142,11552.69834
11167.07591,11569.61047
11190.56138,11612.32621
11210.03669,11738.77961
11210.96099,11755.70482
11243.8243,11773.39124
11252.35399,11792.46543
11305.7054,11812.06841
11324.25605,11864.86226
11358.44253,11874.79801
11375.46954,11880.53109
11419.76098,11890.67923
11525.65315,11992.84817
11542.86242,12050.62413
11559.17817,12076.00028
11614.53645,12097.87356
11654.42791,12124.99029
11699.95356,12126.83983
11705.33772,12141.6841
11738.72897,12257.28669
11740.81315,12296.17444
11771.45172,12307.36474
11772.77016,12425.60388
11783.12269,12439.19155
11873.46208,12499.72245
11929.33281,12503.39668
11961.53296,12518.47518
11964.89998,12519.08593
12044.11869,12549.76289
12114.73896,12602.26448
12161.80586,12611.76956
12180.08448,12612.63843
12197.84813,12639.61839
12264.56768,12660.03688
12294.94587,12663.45787
12303.12801,12683.21147
12337.44099,12729.7619
12354.21807,12763.24492
12424.1161,12766.20311
12426.70594,12806.91197
12456.21179,12819.68151
12466.65553,12829.40165
12492.38251,12832.44644
12529.91616,12863.54846
12538.55199,12889.23222
12616.38997,12929.25707
12649.15246,12983.15778
12703.14887,12988.23445
12737.27562,12988.52388
12756.83027,13013.94334
12834.63461,13042.453
12888.48634,13051.94649
12892.24084,13053.11366
12925.45909,13069.5143
12956.149,13215.97516
12969.23227,13229.6359
12992.83098,13272.21827
13030.23023,13294.97416
13032.21123,13323.50985
13067.7714,13415.39199
13069.0498,13423.73547
13098.01375,13497.40674
13136.9909,13508.74693
13248.07157,13514.91177
13276.2063,13564.36951
13366.61907,13629.26092
13377.95815,13644.73087
13407.19576,13655.04231
13438.2305,13663.21974
13455.15497,13667.88787
13502.87925,13684.36161
13546.31198,13702.06582
13551.51504,13702.63978
13593.61375,13720.40214
13617.14733,13728.60963
13636.76595,13736.58118
13648.86119,13738.90265
13657.8252,13746.72364
13686.0338,13806.39107
13692.79546,13839.44016
13692.81265,13840.02444
13695.87099,13862.81283
13739.7162,13910.33668
13750.30754,13916.46014
13753.84065,13924.20238
13761.5648,13978.37928
13784.7101,13996.03506
13821.31237,14018.28231
13837.01166,14054.586
13858.00416,14059.13642
13867.1118,14070.91705
13876.23476,14080.47553
13899.32288,14085.9998
13907.14449,14129.98824
13944.00916,14142.43234
13945.22474,14153.08711
13953.18047,14178.3744
13983.48749,14233.63852
14027.56132,14276.68042
14043.68478,14288.19066
14134.68532,14291.04246
14168.66482,14314.07264
14176.87128,14335.58168
14182.23625,14352.20023
14188.43543,14362.06824
14194.55123,14407.49842
14248.40001,14436.7873
14279.78631,14452.38213
14371.90179,14459.51715
14377.61329,14481.47647
14387.11219,14507.09061
14401.13876,14513.89294
14434.20825,14540.49834
14495.06865,14546.08814
14504.91768,14554.53502
14717.33734,14745.27306
14742.61143,14817.72378
14880.40826,14895.12824
14880.88992,14901.76596
14885.89599,14915.34307
14977.28002,14979.91934
14979.51897,14982.25896
15010.27739,15096.48122
15114.91529,15254.68558
15133.39292,15266.32929
15140.3376,15266.65478
15148.97459,15270.80234
15166.34823,15286.59379
15350.04712,15365.50308
15426.27056,15431.23398
15437.76842,15460.79646
15474.73524,15510.36678
15495.05402,15515.20041
15498.08154,15528.33386
15542.81587,15575.46987
15555.54128,15593.23065
